Timestamp,Q1_General background in data analysis?,Q2_Hands-on experience in data analysis using Python?,Q3_Experience in programming in general?	,Q4_General background in machine learning?	,Q5_Hands-on experience in running machine learning applications?	,Q6_Which one would you prefer on a Sunday afternoon?	,Q7_Hands-on experience in image analysis using satellite images?	,Q8_Level of interest in mathematics?	,Q9_Level of interest in reading?	,Q10_Level of stress about this class?	,Q11_Your overall motivation about this class?
1/12/2022 12:00:11,7,8,7,3,2,Watching a movie,7,7,7,7,9
1/12/2022 12:00:20,7,6,7,5,5,Reading,4,6,8,6,8
1/12/2022 12:00:20,6,6,7,6,4,Watching a movie,2,3,3,7,5
1/12/2022 12:00:27,8,7,8,6,3,"Coding for the homework, project or just for fun",4,6,9,5,9
1/12/2022 12:00:29,3,3,3,3,3,Reading,3,6,8,10,10
1/12/2022 12:00:41,5,6,5,3,4,Watching a movie,1,7,10,4,10
1/12/2022 12:00:58,5,7,5,4,4,Watching a movie,4,9,8,9,8
1/12/2022 12:01:24,6,5,4,5,3,Running,2,7,6,6,8
1/12/2022 12:01:43,5,5,8,5,5,Watching a movie,5,6,6,6,6
1/12/2022 12:01:44,2,4,1,1,1,Reading,1,2,10,9,10
1/12/2022 12:01:47,10,7,6,4,3,Running,5,10,8,7,8
1/12/2022 12:01:47,8,8,8,4,4,Reading,9,6,10,2,9
1/12/2022 12:01:48,4,7,9,4,4,Watching a movie,2,2,7,5,9
1/12/2022 12:01:48,4,3,2,3,4,"Coding for the homework, project or just for fun",1,4,2,7,8
1/12/2022 12:01:53,8,8,9,6,5,"Coding for the homework, project or just for fun",8,6,6,4,8
1/12/2022 12:02:02,8,7,7,5,4,Reading,5,6,9,5,10
1/12/2022 12:02:09,8,7,8,5,3,"Coding for the homework, project or just for fun",3,5,4,2,10
1/12/2022 12:02:16,4,6,7,7,7,"Coding for the homework, project or just for fun",6,5,5,6,7
1/12/2022 12:02:43,4,3,4,3,3,Watching a movie,4,3,3,5,8
1/12/2022 12:02:45,8,5,8,8,8,Running,6,8,2,2,9
1/12/2022 12:02:46,8,7,6,9,9,Running,10,6,8,2,7
1/12/2022 12:02:47,6,4,5,5,4,Watching a movie,6,6,2,5,10
1/12/2022 12:02:55,8,2,4,1,1,"Coding for the homework, project or just for fun",10,6,10,8,10
1/12/2022 12:03:07,7,7,4,5,3,"Coding for the homework, project or just for fun",1,4,8,2,5
1/12/2022 12:03:17,8,7,7,6,5,Reading,2,6,7,3,8
1/12/2022 12:04:06,8,8,7,6,3,"Coding for the homework, project or just for fun",4,6,4,5,5
1/12/2022 12:06:20,4,2,5,4,1,Watching a movie,2,6,5,3,8
